,transcript,file,orf_count,cds_count,ratio,prob_uORF_init_rpb,prob_cds_init_rpb,prob_uORF_init_raw,prob_cds_init_raw,initiation_ratio,ratio_diff_init_minus_full
50,ENST00000369535,Battle15_SRR1585491,190,930,0.9,6.81,7.22,0.17,0.98,1.06,0.16
51,ENST00000369535,Battle15_SRR1585490,258,832,0.6,9.26,6.97,0.23,0.95,0.75,0.15
52,ENST00000369535,Battle15_SRR1585493,133,431,0.6,9.43,7.16,0.23,0.97,0.76,0.16
53,ENST00000369535,Battle15_SRR1585492,112,452,0.74,7.89,7.12,0.19,0.97,0.9,0.16
54,ENST00000369535,Battle15_SRR1585518,199,674,0.63,8.99,6.96,0.22,0.94,0.77,0.14
55,ENST00000369535,Battle15_SRR1585519,154,810,0.97,6.34,7.12,0.16,0.97,1.12,0.15
56,ENST00000369535,Battle15_SRR1585540,136,401,0.54,9.05,6.18,0.22,0.84,0.68,0.14
57,ENST00000369535,Battle15_SRR1585557,80,227,0.52,9.47,6.31,0.23,0.86,0.67,0.15
58,ENST00000369535,Battle15_SRR1585510,239,841,0.65,8.76,7.07,0.21,0.96,0.81,0.16
59,ENST00000369535,Battle15_SRR1585511,153,534,0.64,8.78,7.04,0.21,0.96,0.8,0.16
60,ENST00000369535,Battle15_SRR1585512,126,723,1.06,5.8,6.96,0.14,0.94,1.2,0.14
61,ENST00000369535,Battle15_SRR1585513,141,690,0.9,6.52,6.85,0.16,0.93,1.05,0.15
62,ENST00000369535,Battle15_SRR1585514,196,777,0.73,7.91,6.93,0.19,0.94,0.88,0.15
63,ENST00000369535,Battle15_SRR1585515,154,566,0.68,8.33,6.94,0.2,0.94,0.83,0.15
64,ENST00000369535,Battle15_SRR1585516,235,747,0.59,9.56,7.16,0.23,0.97,0.75,0.16
65,ENST00000369535,Battle15_SRR1585517,108,424,0.72,7.86,6.9,0.19,0.94,0.88,0.16
66,ENST00000369535,Battle15_SRR1585536,124,373,0.56,9.8,7.0,0.24,0.95,0.71,0.15
67,ENST00000369535,Battle15_SRR1585537,45,35,0.14,22.98,7.37,0.56,1.0,0.32,0.18
68,ENST00000369535,Battle15_SRR1585534,85,533,1.16,5.21,6.75,0.13,0.92,1.3,0.14
69,ENST00000369535,Battle15_SRR1585535,117,372,0.59,9.46,7.07,0.23,0.96,0.75,0.16
70,ENST00000369535,Battle15_SRR1585532,173,902,0.96,6.19,6.85,0.15,0.93,1.11,0.15
71,ENST00000369535,Battle15_SRR1585533,103,156,0.28,16.24,7.37,0.4,1.0,0.45,0.17
72,ENST00000369535,Battle15_SRR1585530,102,262,0.47,11.17,7.13,0.27,0.97,0.64,0.17
73,ENST00000369535,Battle15_SRR1585531,96,322,0.62,9.1,7.08,0.22,0.96,0.78,0.16
74,ENST00000369535,Battle15_SRR1585554,261,716,0.51,10.53,7.03,0.26,0.95,0.67,0.16
75,ENST00000369535,Battle15_SRR1585555,197,603,0.56,9.84,7.12,0.24,0.97,0.72,0.16
76,ENST00000369535,Battle15_SRR1585556,262,995,0.7,8.29,7.13,0.2,0.97,0.86,0.16
77,ENST00000369535,Battle15_SRR1585544,160,378,0.44,11.49,6.81,0.28,0.92,0.59,0.15
78,ENST00000369535,Battle15_SRR1585550,49,303,1.14,5.48,7.07,0.13,0.96,1.29,0.15
79,ENST00000369535,Battle15_SRR1585551,233,729,0.58,9.5,6.96,0.23,0.94,0.73,0.15
80,ENST00000369535,Battle15_SRR1585538,99,704,1.31,4.96,7.17,0.12,0.97,1.45,0.14
81,ENST00000369535,Battle15_SRR1585539,209,947,0.84,7.14,7.07,0.17,0.96,0.99,0.15
82,ENST00000369535,Battle15_SRR1585553,188,548,0.54,10.1,7.06,0.25,0.96,0.7,0.16
83,ENST00000369535,Xu16_SRR1758378,52,347,1.23,5.21,7.18,0.13,0.97,1.38,0.15
84,ENST00000369535,Xu16_SRR1758379,25,300,2.21,3.08,7.18,0.08,0.97,2.33,0.12
85,ENST00000369535,Xu16_SRR1758411,45,183,0.75,7.89,7.17,0.19,0.97,0.91,0.16
